,Actual_OFI,FNN_Model_OFI,actual_signal,FNN_signal
142,0.5,0.8685014,BUY,BUY
143,1.0,0.9,BUY,BUY
144,1.0,0.9,BUY,BUY
145,0.3305084745762712,0.3104576,BUY,BUY
146,-1.0,-0.9,SELL,SELL
147,0.3333333333333333,0.32117033,BUY,BUY
148,0.0,-0.020091549,HOLD,SELL
149,-1.0,-0.9,SELL,SELL
150,-0.3273542600896861,-0.30052423,SELL,SELL
151,0.0,-0.01965572,HOLD,SELL
152,1.0,0.9,BUY,BUY
153,1.0,0.9,BUY,BUY
154,-0.33962264150943394,-0.32861948,SELL,SELL
155,-0.3269230769230769,-0.2988162,SELL,SELL
156,-1.0,-0.9,SELL,SELL
157,-1.0,-0.9,SELL,SELL
158,-1.0,-0.9,SELL,SELL
159,-1.0,-0.9,SELL,SELL
160,-0.6012269938650306,-0.9044881,SELL,SELL
161,0.20376175548589343,0.2991209,BUY,BUY
162,-0.6,-0.89811754,SELL,SELL
163,0.004048582995951417,-0.019474521,BUY,SELL
164,-0.4,-0.7982373,SELL,SELL
165,1.0,0.9,BUY,BUY
166,-0.3333333333333333,-0.31801176,SELL,SELL
167,-1.0,-0.9,SELL,SELL
168,1.0,0.9,BUY,BUY
169,1.0,0.9,BUY,BUY
170,1.0,0.9,BUY,BUY
171,0.0,-0.015525356,HOLD,SELL
172,-1.0,-0.9,SELL,SELL
173,-1.0,-0.9,SELL,SELL
174,0.0,-0.014657274,HOLD,SELL
175,-1.0,-0.9,SELL,SELL
176,-0.005076142131979695,-0.035920158,SELL,SELL
177,0.5051546391752577,0.67997503,BUY,BUY
178,1.0,0.99706745,BUY,BUY
179,0.5982905982905983,0.73461866,BUY,BUY
180,-0.7772397094430993,-0.6480756,SELL,SELL
181,-1.0,-0.9,SELL,SELL
182,-1.0,-0.9,SELL,SELL
183,-0.5357142857142857,-0.9,SELL,SELL
184,1.0,0.9898944,BUY,BUY
185,-0.3333333333333333,-0.33134747,SELL,SELL
186,-1.0,-0.9,SELL,SELL
187,1.0,0.9809265,BUY,BUY
188,1.0,0.9,BUY,BUY
189,1.0,0.9,BUY,BUY
190,0.14285714285714285,0.09215067,BUY,BUY
191,0.32710280373831774,0.3163656,BUY,BUY
192,-1.0,-0.9696114,SELL,SELL
193,1.0,0.9,BUY,BUY
194,-1.0,-0.9664309,SELL,SELL
195,1.0,0.9,BUY,BUY
196,0.2857142857142857,-0.012974754,BUY,SELL
197,0.3333333333333333,0.32762337,BUY,BUY
198,-0.3409090909090909,-0.34961367,SELL,SELL
199,1.0,0.9629923,BUY,BUY
200,-0.3333333333333333,-0.34245682,SELL,SELL
201,1.0,0.9,BUY,BUY
202,0.0,-0.009006634,HOLD,SELL
203,0.02127659574468085,0.0066472143,BUY,BUY
204,0.3333333333333333,0.32226694,BUY,BUY
205,0.75,0.727472,BUY,BUY
206,1.0,0.95043725,BUY,BUY
207,1.0,0.9,BUY,BUY
208,1.0,0.9809265,BUY,BUY
