,Actual_OFI,VAR_Only_OFI,Combined_Model_OFI,actual_signal,forecasted_VAR_signal,forecasted_UDE_signal
0,-0.054945054945054944,-0.01185983088504165,-0.1316209928268403,SELL,SELL,SELL
1,0.2608695652173913,0.001050597568338057,0.22885239399978657,BUY,BUY,BUY
2,-0.09090909090909091,0.0034622870984255764,-0.088743593665599,SELL,BUY,SELL
3,-0.6923076923076923,0.003430377894836473,-0.13352733986296167,SELL,BUY,SELL
4,0.8260869565217391,0.0034087048625102323,0.34991210914500837,BUY,BUY,BUY
5,0.47692307692307695,0.0034109052087940963,0.46979747547969614,BUY,BUY,BUY
6,-0.4473684210526316,0.0034113162134946505,-0.44560100644135675,SELL,BUY,SELL
7,0.13953488372093023,0.0034113024954619616,0.15762451146890427,BUY,BUY,BUY
8,0.8064516129032258,0.003411298525264092,0.7899057202619887,BUY,BUY,BUY
9,0.20987654320987653,0.0034112989242196337,0.22059140893621637,BUY,BUY,BUY
10,0.8305084745762712,0.0034112989930093237,0.8120971411386845,BUY,BUY,BUY
11,0.5526315789473685,0.0034112989894229924,0.5454697801308885,BUY,BUY,BUY
12,0.043478260869565216,0.0034112989887094287,0.06018095419943236,BUY,BUY,BUY
13,-0.3125,0.003411298988784573,-0.7119233666808719,SELL,BUY,SELL
14,0.038461538461538464,0.0034112989887960447,0.049978924718523186,BUY,BUY,BUY
15,-0.3103448275862069,0.0034112989887952368,-0.3125876641854614,SELL,BUY,SELL
16,0.047619047619047616,0.003411298988795177,0.060499579231266656,BUY,BUY,BUY
17,-0.45454545454545453,0.003411298988795177,-0.04239286942947891,SELL,BUY,SELL
18,-0.0625,0.003411298988795177,-0.05175462534524008,SELL,BUY,SELL
19,0.3230769230769231,0.003411298988795177,0.3199371925617969,BUY,BUY,BUY
20,0.4634146341463415,0.003411298988795177,0.44269767608482335,BUY,BUY,BUY
21,0.05555555555555555,0.003411298988795177,0.06901506425959623,BUY,BUY,BUY
22,-0.022222222222222223,0.003411298988795177,0.014258811057251672,SELL,BUY,BUY
23,0.0392156862745098,0.003411298988795177,0.05149085764922793,BUY,BUY,BUY
24,0.14285714285714285,0.003411298988795177,0.15943455448244068,BUY,BUY,BUY
25,0.4074074074074074,0.003411298988795177,0.41187735372281253,BUY,BUY,BUY
26,0.07692307692307693,0.003411298988795177,0.1650867712009729,BUY,BUY,BUY
27,-0.2786885245901639,0.003411298988795177,-0.2814327117205677,SELL,BUY,SELL
28,-0.325,0.003411298988795177,-0.32613662980172387,SELL,BUY,SELL
29,-0.4642857142857143,0.003411298988795177,-0.46023550705166694,SELL,BUY,SELL
30,0.38461538461538464,0.003411298988795177,0.3781562456056453,BUY,BUY,BUY
31,0.5384615384615384,0.003411298988795177,0.40507041674918653,BUY,BUY,BUY
32,-0.06666666666666667,0.003411298988795177,-0.1451840804517677,SELL,BUY,SELL
33,-0.5428571428571428,0.003411298988795177,-0.5381075789221708,SELL,BUY,SELL
34,0.0,0.003411298988795177,0.007021466675393846,HOLD,BUY,BUY
35,0.22033898305084745,0.003411298988795177,0.2389670415505306,BUY,BUY,BUY
36,0.8461538461538461,0.003411298988795177,0.0900416799910855,BUY,BUY,BUY
37,-0.3076923076923077,0.003411298988795177,-0.3116151189378709,SELL,BUY,SELL
38,-0.34831460674157305,0.003411298988795177,-0.3491681567546057,SELL,BUY,SELL
39,0.23943661971830985,0.003411298988795177,0.24892497982531356,BUY,BUY,BUY
40,-0.02857142857142857,0.003411298988795177,-0.004154122630354787,SELL,BUY,SELL
41,-0.4222222222222222,0.003411298988795177,-0.4620716781630118,SELL,BUY,SELL
42,0.2727272727272727,0.003411298988795177,0.28503692083250537,BUY,BUY,BUY
43,-0.19540229885057472,0.003411298988795177,-0.19898282314560187,SELL,BUY,SELL
44,0.35714285714285715,0.003411298988795177,0.40766840459178044,BUY,BUY,BUY
45,-0.009708737864077669,0.003411298988795177,-0.005376475537381577,SELL,BUY,SELL
46,-0.42857142857142855,0.003411298988795177,-0.4263623144395786,SELL,BUY,SELL
47,0.0,0.003411298988795177,0.010274701047234935,HOLD,BUY,BUY
48,0.6862745098039216,0.003411298988795177,0.6689760589632187,BUY,BUY,BUY
49,-0.7209302325581395,0.003411298988795177,-0.7259151491231146,SELL,BUY,SELL
50,0.8360655737704918,0.003411298988795177,0.8183297591033352,BUY,BUY,BUY
51,-0.07526881720430108,0.003411298988795177,-0.07571841541712715,SELL,BUY,SELL
52,0.0,0.003411298988795177,0.005402336702833545,HOLD,BUY,BUY
53,-0.8636363636363636,0.003411298988795177,-0.7381512555993095,SELL,BUY,SELL
54,0.03571428571428571,0.003411298988795177,0.04453334671300143,BUY,BUY,BUY
55,-0.014925373134328358,0.003411298988795177,0.002755816725013506,SELL,BUY,BUY
56,-0.8888888888888888,0.003411298988795177,-0.40162320204229607,SELL,BUY,SELL
57,-0.8571428571428571,0.003411298988795177,-0.7411401962853308,SELL,BUY,SELL
58,0.5,0.003411298988795177,0.4933761929433895,BUY,BUY,BUY
59,0.38461538461538464,0.003411298988795177,0.044381678233414115,BUY,BUY,BUY
60,0.12727272727272726,0.003411298988795177,0.15874966057768977,BUY,BUY,BUY
61,0.6078431372549019,0.003411298988795177,0.5933021679335267,BUY,BUY,BUY
62,0.6326530612244898,0.003411298988795177,0.616429551382874,BUY,BUY,BUY
63,-0.14285714285714285,0.003411298988795177,-0.5223382928994855,SELL,BUY,SELL
64,0.0410958904109589,0.003411298988795177,0.06733299188895829,BUY,BUY,BUY
