,Actual_OFI,VAR_Only_OFI,Combined_Model_OFI,actual_signal,forecasted_VAR_signal,forecasted_UDE_signal
0,-0.054945054945054944,0.0037566793565537914,-0.057668278010993376,SELL,BUY,SELL
1,0.2608695652173913,0.006395197757875885,0.2641099771613627,BUY,BUY,BUY
2,-0.09090909090909091,0.0069186775390879165,-0.09187925225966265,SELL,BUY,SELL
3,-0.6923076923076923,0.006874123486700398,-0.701265494965331,SELL,BUY,SELL
4,0.8260869565217391,0.007004286953823899,0.8074173015081701,BUY,BUY,BUY
5,0.47692307692307695,0.007004094524273028,0.47386131668753356,BUY,BUY,BUY
6,-0.4473684210526316,0.007004381810930424,-0.4485705171602341,SELL,BUY,SELL
7,0.13953488372093023,0.007004364359993699,0.1379476120588076,BUY,BUY,BUY
8,0.8064516129032258,0.007004345159384553,0.8081508392089908,BUY,BUY,BUY
9,0.20987654320987653,0.007004345022039479,0.20786055953486557,BUY,BUY,BUY
10,0.8305084745762712,0.007004344927903379,0.8310801871095197,BUY,BUY,BUY
11,0.5526315789473685,0.007004344933533699,0.5486156712415533,BUY,BUY,BUY
12,0.043478260869565216,0.007004344936265255,0.04331656792372341,BUY,BUY,BUY
13,-0.3125,0.00700434493632882,-0.31451822127847745,SELL,BUY,SELL
14,0.038461538461538464,0.007004344936349988,0.03827038413715888,BUY,BUY,BUY
15,-0.3103448275862069,0.007004344936348758,-0.31150606402884606,SELL,BUY,SELL
16,0.047619047619047616,0.007004344936348407,0.046743944920607225,BUY,BUY,BUY
17,-0.45454545454545453,0.007004344936348407,-0.46125335741871953,SELL,BUY,SELL
18,-0.0625,0.007004344936348407,-0.06325453281136173,SELL,BUY,SELL
19,0.3230769230769231,0.007004344936348407,0.32097630347964423,BUY,BUY,BUY
20,0.4634146341463415,0.007004344936348407,0.46278168806456904,BUY,BUY,BUY
21,0.05555555555555555,0.007004344936348407,0.053877294843635355,BUY,BUY,BUY
22,-0.022222222222222223,0.007004344936348407,-0.022754047258405134,SELL,BUY,SELL
23,0.0392156862745098,0.007004344936348407,0.03902890320910827,BUY,BUY,BUY
24,0.14285714285714285,0.007004344936348407,0.14107596132349484,BUY,BUY,BUY
25,0.4074074074074074,0.007004344936348407,0.40896906790064735,BUY,BUY,BUY
26,0.07692307692307693,0.007004344936348407,0.07718684341814543,BUY,BUY,BUY
27,-0.2786885245901639,0.007004344936348407,-0.27978058847174814,SELL,BUY,SELL
28,-0.325,0.007004344936348407,-0.3258845915564342,SELL,BUY,SELL
29,-0.4642857142857143,0.007004344936348407,-0.4658833423936961,SELL,BUY,SELL
30,0.38461538461538464,0.007004344936348407,0.38310364828671256,BUY,BUY,BUY
31,0.5384615384615384,0.007004344936348407,0.5409177360752165,BUY,BUY,BUY
32,-0.06666666666666667,0.007004344936348407,-0.06762366951435404,SELL,BUY,SELL
33,-0.5428571428571428,0.007004344936348407,-0.5445789298349691,SELL,BUY,SELL
34,0.0,0.007004344936348407,-0.0003732881986108041,HOLD,BUY,SELL
35,0.22033898305084745,0.007004344936348407,0.21943894318715917,BUY,BUY,BUY
36,0.8461538461538461,0.007004344936348407,0.8247708337940147,BUY,BUY,BUY
37,-0.3076923076923077,0.007004344936348407,-0.30897179976492617,SELL,BUY,SELL
38,-0.34831460674157305,0.007004344936348407,-0.34914671845054424,SELL,BUY,SELL
39,0.23943661971830985,0.007004344936348407,0.23763156501163835,BUY,BUY,BUY
40,-0.02857142857142857,0.007004344936348407,-0.02917657308197857,SELL,BUY,SELL
